.id,simd,n_pop,mean_age,n_cvd,p_cvd
1,1,1484,59.6826145552561,565,38.0727762803235
1,2,1829,59.5303444505194,723,39.5297977036632
1,3,1843,59.6348345089528,696,37.7645143787303
1,4,1638,59.6123321123321,663,40.4761904761905
1,5,1797,60.1385642737897,716,39.8441847523651
2,1,1521,59.258382642998,607,39.9079552925707
2,2,1797,59.6883695047301,716,39.8441847523651
2,3,1881,59.9404572036151,731,38.8623072833599
2,4,1647,59.5373406193078,646,39.2228293867638
2,5,1745,59.9650429799427,697,39.9426934097421
3,1,1523,59.5620485883126,581,38.1483913328956
3,2,1865,59.9152815013405,739,39.6246648793566
3,3,1760,59.7556818181818,666,37.8409090909091
3,4,1673,59.3747758517633,678,40.5260011954573
3,5,1770,59.3994350282486,685,38.7005649717514
4,1,1532,59.8394255874674,623,40.6657963446475
4,2,1796,59.4654788418708,704,39.1982182628062
4,3,1834,59.2431842966194,707,38.5496183206107
4,4,1558,59.8620025673941,624,40.0513478818999
4,5,1871,59.5836451095671,722,38.5889898450027
5,1,1595,59.1210031347962,623,39.0595611285267
5,2,1790,59.3748603351955,708,39.5530726256983
5,3,1770,59.4728813559322,697,39.3785310734463
5,4,1631,59.6578786020846,641,39.3010423053342
5,5,1805,59.816620498615,709,39.2797783933518
6,1,1473,59.8078750848608,604,41.0047522063815
6,2,1880,59.593085106383,752,40
6,3,1876,59.7345415778252,741,39.498933901919
6,4,1640,59.4646341463415,672,40.9756097560976
6,5,1722,59.6324041811847,678,39.3728222996516
7,1,1565,59.8504792332268,606,38.7220447284345
7,2,1777,59.4169949352842,681,38.3230163196398
7,3,1883,59.797132235794,741,39.35209771641
7,4,1611,59.7299813780261,661,41.0304158907511
7,5,1755,59.3806267806268,676,38.5185185185185
8,1,1574,60.0031766200763,597,37.9288437102923
8,2,1897,59.8703215603585,781,41.1702688455456
8,3,1753,60.0102681118083,683,38.9617798060468
8,4,1649,59.561552456034,624,37.8411158277744
8,5,1718,59.3806752037253,676,39.3480791618161
9,1,1554,59.528314028314,631,40.6048906048906
9,2,1825,59.7906849315069,731,40.0547945205479
9,3,1878,59.9366347177849,731,38.9243876464324
9,4,1561,59.8731582319026,615,39.3978219090327
9,5,1773,59.7005076142132,683,38.5222786238015
10,1,1512,59.7996031746032,591,39.0873015873016
10,2,1828,59.5432166301969,706,38.6214442013129
10,3,1835,59.6076294277929,733,39.9455040871935
10,4,1645,59.3617021276596,616,37.4468085106383
10,5,1771,59.1699604743083,696,39.2998306041784
11,1,1512,59.6124338624339,602,39.8148148148148
11,2,1784,59.9344170403588,673,37.7242152466368
11,3,1874,59.5763073639274,769,41.0352187833511
11,4,1626,59.7047970479705,629,38.6838868388684
11,5,1795,59.6462395543176,709,39.4986072423398
12,1,1507,59.7936297279363,608,40.3450564034506
12,2,1863,59.5958132045089,716,38.4326355340848
12,3,1829,59.5921268452706,669,36.5773646801531
12,4,1645,59.7179331306991,633,38.4802431610942
12,5,1747,59.5844304522038,713,40.8128219805381
13,1,1520,59.5776315789474,611,40.1973684210526
13,2,1792,59.6194196428572,679,37.890625
13,3,1848,59.224025974026,734,39.7186147186147
13,4,1657,59.7429088714544,652,39.3482196741098
13,5,1774,59.8196166854566,670,37.7677564825254
14,1,1555,59.4308681672026,608,39.0996784565916
14,2,1796,59.4153674832962,699,38.9198218262806
14,3,1920,59.7677083333333,738,38.4375
14,4,1591,59.5776241357637,632,39.7234443746072
14,5,1729,59.6489300173511,712,41.1798727588201
15,1,1523,59.9001969796454,597,39.198949441891
15,2,1831,59.6275259421081,676,36.9197160021846
15,3,1902,59.9305993690852,680,35.751840168244
15,4,1604,59.5897755610973,605,37.7182044887781
15,5,1731,59.9786250722126,659,38.0704794916233
